OS,Scenario,Domain,Sent_Packets,Sent_Bytes,Recv_Packets,Recv_Bytes,isGoogle,isUpdatePayload,isFirstParty
grapheneos,A,accounts.google.com,535,166089,1995,1997897,True,False,False
grapheneos,A,accounts.sandbox.google.com,13,1718,15,12507,True,False,False
grapheneos,A,android-market.l.google.com,12,1631,12,6522,True,False,False
grapheneos,A,android.l.google.com,676,385305,640,309388,True,False,False
grapheneos,A,apps.grapheneos.org,44983,2990491,93308,135537190,False,True,True
grapheneos,A,cert-wallet-gslb.v.aaplimg.com,10,1518,10,8047,False,False,False
grapheneos,A,connectivitycheck.gstatic.com,1631,188217,4810,6496389,True,False,False
grapheneos,A,digitalkeypairing.org,11,1568,10,7600,False,False,False
grapheneos,A,fonts.gstatic.com,122,13050,269,371825,True,False,False
grapheneos,A,googleads.g.doubleclick.net,36,7042,33,16661,True,False,False
grapheneos,A,googlehosted.l.googleusercontent.com,52,10902,63,46153,True,False,False
grapheneos,A,grapheneos.org,157,20277,229,253426,False,False,True
grapheneos,A,i.ytimg.com,104,17266,156,161332,True,False,False
grapheneos,A,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,A,mdns.mcast.net,2,247,0,0,False,False,False
grapheneos,A,mobile-gtalk.l.google.com,28,5259,27,16378,True,False,False
grapheneos,A,my.play,23,3198,23,17890,True,False,False
grapheneos,A,pai.googlezip.net,23,2549,30,31535,True,False,False
grapheneos,A,pay.sandbox.google.com,16,1966,16,12713,True,False,False
grapheneos,A,payments.sandbox.google.com,12,1640,13,11849,True,False,False
grapheneos,A,play.googleapis.com,742,340134,796,335766,True,False,False
grapheneos,A,qr.quickshare.samsungcloud.com,13,1733,11,7570,False,False,False
grapheneos,A,quickshare.google,17,1984,19,14384,True,False,False
grapheneos,A,recaptcha.google.com,15,1855,14,8261,True,False,False
grapheneos,A,recaptcha.net,16,1914,19,13767,True,False,False
grapheneos,A,region1.app-measurement.com,29,9534,35,17317,True,False,False
grapheneos,A,rr1.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,19221,1396141,103484,138121247,True,True,False
grapheneos,A,rr2.sn-8pgu05v2xg5uvg-f5fs.gvt1.com,13937,1063018,104358,135496031,True,True,False
grapheneos,A,sb.l.google.com,114,113172,86,26276,True,False,False
grapheneos,A,ssl.gstatic.com,45,11442,73,64038,True,False,False
grapheneos,A,staging-walletshare.sandbox.googleapis.com,26,3511,25,20381,True,False,False
grapheneos,A,time.google.com,1,90,1,90,True,False,False
grapheneos,A,wallet-gslb.v.aaplimg.com,10,1513,10,8024,False,False,False
grapheneos,A,wallet.google.com,67,10341,70,58504,True,False,False
grapheneos,A,www.google.com,18,4696,17,8375,True,False,False
grapheneos,A,www.googleapis.com,1814,593428,3767,4111191,True,False,False
grapheneos,A,www3.l.google.com,159,49212,170,80367,True,False,False
grapheneos,B,accounts.google.com,12,1656,10,6525,True,False,False
grapheneos,B,accounts.sandbox.google.com,15,1850,15,12506,True,False,False
grapheneos,B,android-market.l.google.com,11,1565,12,6434,True,False,False
grapheneos,B,app.goo.gl,14,1767,16,14566,True,False,False
grapheneos,B,apps.grapheneos.org,43434,2887259,93305,135538077,False,True,True
grapheneos,B,cert-wallet-gslb.v.aaplimg.com,10,1518,10,8047,False,False,False
grapheneos,B,digitalkeypairing.org,12,1634,12,7756,False,False,False
grapheneos,B,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,B,my.play,23,3198,24,17958,True,False,False
grapheneos,B,pay.google.com,13,1717,14,9932,True,False,False
grapheneos,B,play.google.com,57,7204,57,38200,True,False,False
grapheneos,B,qr.quickshare.samsungcloud.com,12,1667,12,7636,False,False,False
grapheneos,B,quickshare.google,14,1774,18,15034,True,False,False
grapheneos,B,recaptcha.google.com,14,1789,14,8268,True,False,False
grapheneos,B,recaptcha.net,16,1914,19,13698,True,False,False
grapheneos,B,releases.grapheneos.org,8,1064,8,5009,False,True,True
grapheneos,B,remoteprovisioning.grapheneos.org,136,16461,202,226033,False,False,True
grapheneos,B,staging-walletshare.sandbox.googleapis.com,33,4018,32,25052,True,False,False
grapheneos,B,uberproxy.l.google.com,11,1622,12,8242,True,False,False
grapheneos,B,wallet-gslb.v.aaplimg.com,10,1513,10,8024,False,False,False
grapheneos,B,wallet.google.com,39,5136,39,31563,True,False,False
grapheneos,B,walletshare.googleapis.com,10,1535,10,5281,True,False,False
grapheneos,B,www3.l.google.com,68,8792,66,42305,True,False,False
grapheneos,C,igmp.mcast.net,4,216,0,0,False,False,False
grapheneos,C,releases.grapheneos.org,8,1064,8,5009,False,True,True
grapheneos,C,remoteprovisioning.grapheneos.org,136,16461,202,226033,False,False,True
iode,A,1.android.pool.ntp.org,2,180,2,180,False,False,False
iode,A,accounts.google.com,253,108622,360,333912,True,False,False
iode,A,android.googleapis.com,33,7850,40,20737,True,False,False
iode,A,captiveportal.kuketz.de,33,4698,35,10093,False,False,False
iode,A,content-signature-2.cdn.mozilla.net,29,3400,32,20631,False,False,False
iode,A,googlehosted.l.googleusercontent.com,12,1656,13,11887,True,False,False
iode,A,igmp.mcast.net,17,918,0,0,False,False,False
iode,A,mobile-gtalk.l.google.com,14,1579,15,8307,True,False,False
iode,A,mozilla.map.fastly.net,338,27558,512,682475,False,False,False
iode,A,play-fe.googleapis.com,125,137547,128,60219,True,False,False
iode,A,play.google.com,57,24278,64,27781,True,False,False
iode,A,remoteprovisioning.googleapis.com,15,4287,22,20678,True,False,False
iode,A,update.googleapis.com,12,2626,11,6114,True,False,False
iode,A,www.google.com,14,3752,15,8193,True,False,False
iode,A,www.googleapis.com,126,14523,260,349497,True,False,False
iode,A,www.gstatic.com,325,54450,652,786497,True,False,False
iode,B,1.android.pool.ntp.org,1,90,1,90,False,False,False
